ID;Sexo;Long.Total;Cola.Doble;Cola.Sencilla
1;HEMBRA;165;54,5;31,5
2;HEMBRA;189;59,4;34,3
3;HEMBRA;209,9;65,5;36,8
4;HEMBRA;226;72;39
5;HEMBRA;118,3;38,4;22,8
6;HEMBRA;155,2;45,7;26,9
7;HEMBRA;174;55;29
8;HEMBRA;99,5;31,8;19,5
9;HEMBRA;127,8;40,8;23,8
10;HEMBRA;161;51,1;28,6
11;HEMBRA;175;53,5;31
12;HEMBRA;240;71;50,5
13;HEMBRA;253;72,5;53,5
21;MACHO;141,8;40,8;29,5
22;MACHO;149,4;43;28,8
23;MACHO;160;46;32
24;MACHO;130;40;20
25;MACHO;150,2;43,8;21,9
26;MACHO;170,5;54;23,2
27;MACHO;141;42,5;26,5
28;MACHO;178,5;53,5;31,3
29;MACHO;206,2;64,1;35,7
30;MACHO;158,5;48;22,5
31;MACHO;213;67,5;28,5
32;MACHO;252,5;83,7;32,8
33;MACHO;154;45,1;29,2
