Nombre ;Sexo;Longitud total ;Cintura;Longitud espalda;Long brazo
Alumno 1;F;170;85;43;57
Alumno 2;F;160;80;41;54
Alumno 3;F;156;88;35;48
Alumno 4;F;173;63;53;59
Alumno 5;M;170;86;47;56
Alumno 6;M;165;89;45;61
Alumno 7;M;170;88;56;59
Alumno 8;M;181;80;60;55
Alumno 9;M;175;76;55;54
Alumno 10;M;186;45;60;86
Alumno 11;F;168;65;49;55
Alumno 12;F;155;70;36;50
Alumno 13;F;150;85,5;45;
Alumno 14;F;158;72;40;55
Alumno 15;M;172;79;43;82
Alumno 16;F;155;68;39;50
Alumno 17;F;163;68;38;70
Alumno 18;M;170;122;48;60
Alumno 19;F;157;60;36;69
Alumno 20;F;162;60;50;76
Alumno 21;M;170;82;55;56
Alumno 22;F;158;75;35;60
Alumno 23;M;174;87;51;56
Alumno 24;F;170;88;37;78
Alumno 25;F;162;68;37;53
